,index,season,seasonNumber,series,episode,inCompetition,chef,challengeType,outcome,rating
0,0,All Stars: New York,8,US,1,1,Angelo S.,Quickfire,LOW,
1,1,All Stars: New York,8,US,1,1,Antonia L.,Quickfire,WIN,
2,2,All Stars: New York,8,US,1,1,Carla H.,Quickfire,LOW,
3,3,All Stars: New York,8,US,1,1,Casey T.,Quickfire,HIGH,
4,4,All Stars: New York,8,US,1,1,Dale L.,Quickfire,HIGH,
5,5,All Stars: New York,8,US,1,1,Dale T.,Quickfire,WIN,
6,6,All Stars: New York,8,US,1,1,Elia A.,Quickfire,LOW,
7,7,All Stars: New York,8,US,1,1,Fabio V.,Quickfire,LOW,
8,8,All Stars: New York,8,US,1,1,Jamie L.,Quickfire,LOW,
9,9,All Stars: New York,8,US,1,1,Jennifer C.,Quickfire,HIGH,
10,10,All Stars: New York,8,US,1,1,Marcel V.,Quickfire,LOW,
11,11,All Stars: New York,8,US,1,1,Mike I.,Quickfire,HIGH,
12,12,All Stars: New York,8,US,1,1,Richard B.,Quickfire,WIN,
13,13,All Stars: New York,8,US,1,1,Spike M.,Quickfire,WIN,
14,14,All Stars: New York,8,US,1,1,Stephen A.,Quickfire,LOW,
15,15,All Stars: New York,8,US,1,1,Tiffani F.,Quickfire,LOW,
16,16,All Stars: New York,8,US,1,1,Tiffany D.,Quickfire,LOW,
17,17,All Stars: New York,8,US,1,1,Tre W.,Quickfire,HIGH,
18,18,All Stars: New York,8,US,1,1,Angelo S.,Elimination,WIN,
19,19,All Stars: New York,8,US,1,1,Antonia L.,Elimination,IN,
20,20,All Stars: New York,8,US,1,1,Carla H.,Elimination,IN,
21,21,All Stars: New York,8,US,1,1,Casey T.,Elimination,IN,
22,22,All Stars: New York,8,US,1,1,Dale L.,Elimination,IN,
23,23,All Stars: New York,8,US,1,1,Dale T.,Elimination,IN,
24,24,All Stars: New York,8,US,1,1,Elia A.,Elimination,OUT,
25,25,All Stars: New York,8,US,1,1,Fabio V.,Elimination,LOW,
26,26,All Stars: New York,8,US,1,1,Jamie L.,Elimination,HIGH,
27,27,All Stars: New York,8,US,1,1,Jennifer C.,Elimination,IN,
28,28,All Stars: New York,8,US,1,1,Marcel V.,Elimination,IN,
29,29,All Stars: New York,8,US,1,1,Mike I.,Elimination,IN,
30,30,All Stars: New York,8,US,1,1,Richard B.,Elimination,HIGH,
31,31,All Stars: New York,8,US,1,1,Spike M.,Elimination,HIGH,
32,32,All Stars: New York,8,US,1,1,Stephen A.,Elimination,LOW,
33,33,All Stars: New York,8,US,1,1,Tiffani F.,Elimination,IN,
34,34,All Stars: New York,8,US,1,1,Tiffany D.,Elimination,IN,
35,35,All Stars: New York,8,US,1,1,Tre W.,Elimination,IN,
36,36,All Stars: New York,8,US,2,1,Angelo S.,Quickfire,IN,
37,37,All Stars: New York,8,US,2,1,Antonia L.,Quickfire,IN,
38,38,All Stars: New York,8,US,2,1,Carla H.,Quickfire,IN,
39,39,All Stars: New York,8,US,2,1,Casey T.,Quickfire,IN,
40,40,All Stars: New York,8,US,2,1,Dale L.,Quickfire,IN,
41,41,All Stars: New York,8,US,2,1,Dale T.,Quickfire,IN,
42,42,All Stars: New York,8,US,2,1,Fabio V.,Quickfire,IN,
43,43,All Stars: New York,8,US,2,1,Jamie L.,Quickfire,IN,
44,44,All Stars: New York,8,US,2,1,Jennifer C.,Quickfire,IN,
45,45,All Stars: New York,8,US,2,1,Marcel V.,Quickfire,IN,
46,46,All Stars: New York,8,US,2,1,Mike I.,Quickfire,LOW,
47,47,All Stars: New York,8,US,2,1,Richard B.,Quickfire,IN,
48,48,All Stars: New York,8,US,2,1,Spike M.,Quickfire,HIGH,
49,49,All Stars: New York,8,US,2,1,Stephen A.,Quickfire,LOW,
50,50,All Stars: New York,8,US,2,1,Tiffani F.,Quickfire,WIN,
51,51,All Stars: New York,8,US,2,1,Tiffany D.,Quickfire,LOW,
52,52,All Stars: New York,8,US,2,1,Tre W.,Quickfire,IN,
53,53,All Stars: New York,8,US,2,0,Elia A.,Quickfire,,
54,54,All Stars: New York,8,US,2,1,Angelo S.,Elimination,WIN,
55,55,All Stars: New York,8,US,2,1,Antonia L.,Elimination,LOW,
56,56,All Stars: New York,8,US,2,1,Carla H.,Elimination,HIGH,
57,57,All Stars: New York,8,US,2,1,Casey T.,Elimination,LOW,
58,58,All Stars: New York,8,US,2,1,Dale L.,Elimination,LOW,
59,59,All Stars: New York,8,US,2,1,Dale T.,Elimination,HIGH,
60,60,All Stars: New York,8,US,2,1,Fabio V.,Elimination,HIGH,
61,61,All Stars: New York,8,US,2,1,Jamie L.,Elimination,LOW,
62,62,All Stars: New York,8,US,2,1,Jennifer C.,Elimination,OUT,
63,63,All Stars: New York,8,US,2,1,Marcel V.,Elimination,WIN,
64,64,All Stars: New York,8,US,2,1,Mike I.,Elimination,HIGH,
65,65,All Stars: New York,8,US,2,1,Richard B.,Elimination,WIN,
66,66,All Stars: New York,8,US,2,1,Spike M.,Elimination,HIGH,
67,67,All Stars: New York,8,US,2,1,Stephen A.,Elimination,HIGH,
68,68,All Stars: New York,8,US,2,1,Tiffani F.,Elimination,LOW,
69,69,All Stars: New York,8,US,2,1,Tiffany D.,Elimination,LOW,
70,70,All Stars: New York,8,US,2,1,Tre W.,Elimination,LOW,
71,71,All Stars: New York,8,US,2,0,Elia A.,Elimination,,
72,72,All Stars: New York,8,US,3,1,Angelo S.,Quickfire,LOW,
73,73,All Stars: New York,8,US,3,1,Antonia L.,Quickfire,LOW,
74,74,All Stars: New York,8,US,3,1,Carla H.,Quickfire,HIGH,
75,75,All Stars: New York,8,US,3,1,Casey T.,Quickfire,LOW,
76,76,All Stars: New York,8,US,3,1,Dale L.,Quickfire,LOW,
77,77,All Stars: New York,8,US,3,1,Dale T.,Quickfire,HIGH,
78,78,All Stars: New York,8,US,3,1,Fabio V.,Quickfire,LOW,
79,79,All Stars: New York,8,US,3,1,Jamie L.,Quickfire,LOW,
80,80,All Stars: New York,8,US,3,1,Marcel V.,Quickfire,HIGH,
81,81,All Stars: New York,8,US,3,1,Mike I.,Quickfire,LOW,
82,82,All Stars: New York,8,US,3,1,Richard B.,Quickfire,WIN,
83,83,All Stars: New York,8,US,3,1,Spike M.,Quickfire,WIN,
84,84,All Stars: New York,8,US,3,1,Stephen A.,Quickfire,WIN,
85,85,All Stars: New York,8,US,3,1,Tiffani F.,Quickfire,HIGH,
86,86,All Stars: New York,8,US,3,1,Tiffany D.,Quickfire,LOW,
87,87,All Stars: New York,8,US,3,1,Tre W.,Quickfire,WIN,
88,88,All Stars: New York,8,US,3,0,Elia A.,Quickfire,,
89,89,All Stars: New York,8,US,3,0,Jennifer C.,Quickfire,,
90,90,All Stars: New York,8,US,3,1,Angelo S.,Elimination,HIGH,
91,91,All Stars: New York,8,US,3,1,Antonia L.,Elimination,HIGH,
92,92,All Stars: New York,8,US,3,1,Carla H.,Elimination,IN,
93,93,All Stars: New York,8,US,3,1,Casey T.,Elimination,IN,
94,94,All Stars: New York,8,US,3,1,Dale L.,Elimination,LOW,
95,95,All Stars: New York,8,US,3,1,Dale T.,Elimination,WIN,
96,96,All Stars: New York,8,US,3,1,Fabio V.,Elimination,LOW,
97,97,All Stars: New York,8,US,3,1,Jamie L.,Elimination,IN,
98,98,All Stars: New York,8,US,3,1,Marcel V.,Elimination,IN,
99,99,All Stars: New York,8,US,3,1,Mike I.,Elimination,IN,
100,100,All Stars: New York,8,US,3,1,Richard B.,Elimination,IN,
101,101,All Stars: New York,8,US,3,1,Spike M.,Elimination,IN,
102,102,All Stars: New York,8,US,3,1,Stephen A.,Elimination,OUT,
103,103,All Stars: New York,8,US,3,1,Tiffani F.,Elimination,LOW,
104,104,All Stars: New York,8,US,3,1,Tiffany D.,Elimination,IN,
105,105,All Stars: New York,8,US,3,1,Tre W.,Elimination,HIGH,
106,106,All Stars: New York,8,US,3,0,Elia A.,Elimination,,
107,107,All Stars: New York,8,US,3,0,Jennifer C.,Elimination,,
108,108,All Stars: New York,8,US,4,1,Angelo S.,Quickfire,IN,
