,index,name,chef,hometown,city,state,age,season,seasonNumber,series,placement,personOfColor,occupation,gender
0,0,Richard Blais,Richard B.,,,,38.0,All Stars: New York,8,US,1,,Owner,Male
1,1,Mike Isabella,Mike I.,,,,35.0,All Stars: New York,8,US,2,,Executive Chef/Owner,Male
2,2,Antonia Lofaso,Antonia L.,,,,34.0,All Stars: New York,8,US,3,,Executive Chef,Female
3,3,Tiffany Derry,Tiffany D.,,,,27.0,All Stars: New York,8,US,4,POC,Executive Chef,Female
4,4,Carla Hall,Carla H.,,,,46.0,All Stars: New York,8,US,5,POC,Chef/Owner,Female
5,5,Dale Talde,Dale T.,,,,32.0,All Stars: New York,8,US,6,POC,Chef de Cuisine,Male
6,6,Angelo Sosa,Angelo S.,,,,35.0,All Stars: New York,8,US,7,POC,President,Male
7,7,Fabio Viviani,Fabio V.,,,,32.0,All Stars: New York,8,US,8,,Owner,Male
8,8,Tre Wilcox,Tre W.,,,,34.0,All Stars: New York,8,US,9,POC,Executive Chef,Male
9,9,Marcel Vigneron,Marcel V.,,,,30.0,All Stars: New York,8,US,10,,Executive Chef,Male
10,10,Jamie Lauren,Jamie L.,,,,32.0,All Stars: New York,8,US,11,,Executive Chef,Female
11,11,Tiffani Faison,Tiffani F.,,,,33.0,All Stars: New York,8,US,11,,Executive Chef,Female
12,12,Casey Thompson,Casey T.,,,,32.0,All Stars: New York,8,US,13,,Executive Chef,Female
13,13,Spike Mendelsohn,Spike M.,,,,29.0,All Stars: New York,8,US,14,,Chef/Owner,Male
14,14,Dale Levitski,Dale L.,,,,37.0,All Stars: New York,8,US,15,,Executive Chef,Male
15,15,Stephen Asprinio,Stephen A.,,,,29.0,All Stars: New York,8,US,15,,Principal,Male
16,16,Jennifer Carroll,Jennifer C.,,,,35.0,All Stars: New York,8,US,17,,Chef de Cuisine,Female
17,17,Elia Aboumrad,Elia A.,,,,27.0,All Stars: New York,8,US,18,,Consultant/Private Caterer,Female
18,18,Melissa King,Melissa K.,,San Francisco,California,,All-Stars L.A.,17,US,1,POC,,Female
19,19,Bryan Voltaggio,Bryan V.,,Frederick,Maryland,,All-Stars L.A.,17,US,2,,,Male
20,20,Stephanie Cmar,Stephanie C.,,Boston,Massachusetts,,All-Stars L.A.,17,US,2,,,Female
21,21,Kevin Gillespie,Kevin G.,,Atlanta,Georgia,,All-Stars L.A.,17,US,4,,,Male
22,22,Gregory Gourdet,Gregory G.,,Portland,Oregon,,All-Stars L.A.,17,US,5,POC,,Male
23,23,Brian Malarkey,Brian M.,,San Diego,California,,All-Stars L.A.,17,US,6,,,Male
24,24,Karen Akunowicz,Karen A.,,Boston,Massachusetts,,All-Stars L.A.,17,US,7,,,Female
25,25,Lee Anne Wong,Lee Anne W.,,Maui,Hawaii,,All-Stars L.A.,17,US,8,POC,,Female
26,26,Eric Adjepong,Eric A.,,Washington,D.C.,,All-Stars L.A.,17,US,9,POC,,Male
27,27,Nini Nguyen,Nini N.,,New York,New York,,All-Stars L.A.,17,US,10,POC,,Female
28,28,Jennifer Carroll,Jennifer C.,,Philadelphia,Pennsylvania,,All-Stars L.A.,17,US,11,,,Female
29,29,Lisa Fernandes,Lisa F.,,Brooklyn,New York,,All-Stars L.A.,17,US,12,,,Female
30,30,Jamie Lynch,Jamie Ly.,,Charlotte,North Carolina,,All-Stars L.A.,17,US,13,,Chef/Partner,Female
31,31,Angelo Sosa,Angelo S.,,San Diego,California,,All-Stars L.A.,17,US,14,POC,,Male
32,32,Joe Sasto,Joe S.,,Los Angeles,California,,All-Stars L.A.,17,US,15,,,Male
33,33,Mei Lin,Mei L.,"Dearborn, Michigan",Los Angeles,California,28.0,Boston,12,US,1,POC,Sous Chef,Female
34,34,Gregory Gourdet,Gregory G.,"Queens, New York",Portland,Oregon,39.0,Boston,12,US,2,POC,Executive Chef,Male
35,35,Doug Adams,Doug A.,"Tyler, Texas",Portland,Oregon,29.0,Boston,12,US,3,,Sous Chef,Male
36,36,Melissa King,Melissa K.,"Los Angeles, California",San Francisco,California,30.0,Boston,12,US,4,POC,Private Chef,Female
37,37,George Pagonis,George P.,"Washington, D.C.",Washington,D.C.,31.0,Boston,12,US,5,,Chef/Partner,Male
38,38,Katsuji Tanabe,Katsuji T.,"Mexico City, Mexico",Los Angeles,California,33.0,Boston,12,US,6,POC,Chef/Owner,Male
39,39,Adam Harvey,Adam H.,"New York, New York",New York,New York,29.0,Boston,12,US,7,,Sous Chef,Male
40,40,Katie Weinner,Katie W.,"Rosemount, Minnesota",Salt Lake City,Utah,35.0,Boston,12,US,8,,Chef/Owner,Female
41,41,Keriann Von Raesfeld,Keriann vR.,"San Jose, California",San Jose,California,28.0,Boston,12,US,9,,Executive Chef,Female
42,42,Stacy Cogswell,Stacy C.,"Boston, Massachusetts",Boston,Massachusetts,33.0,Boston,12,US,10,,Executive Chef,Female
43,43,Aaron Grissom,Aaron G.,"Tacoma, Washington",North Hollywood,California,27.0,Boston,12,US,11,,Executive Chef,Male
44,44,James Rigato,James R.,"Howell, Michigan",White Lake,Michigan,29.0,Boston,12,US,12,,Executive Chef,Male
45,45,Rebecca LaMalfa,Rebecca L.,"Chico, California",Chicago,Illinois,32.0,Boston,12,US,12,,Executive Sous Chef,Female
46,46,Ron Eyester,Ron E.,"Long Island, New York",Atlanta,Georgia,40.0,Boston,12,US,14,,Chef/Owner,Male
47,47,Joy Crump,Joy C.,"Coatesville, Pennsylvania",Fredericksburg,Virginia,46.0,Boston,12,US,15,,Executive Chef/Owner,Female
48,48,Michael Patlazhan,Michael P.,"Brooklyn, New York",Brooklyn,New York,31.0,Boston,12,US,16,,Private Chef,Male
49,49,Jeremy Ford,Jeremy F.,"Jacksonville, Florida",Miami,Florida,30.0,California,13,US,1,,Chef de Cuisine,Male
50,50,Amar Santana,Amar S.,"Queens, New York",Orange County,California,33.0,California,13,US,2,POC,Executive Chef/Owner,Male
51,51,Isaac Toups,Isaac T.,"Rayne, Louisiana",New Orleans,Louisiana,36.0,California,13,US,3,,Executive Chef/Owner,Male
52,52,Marjorie Meek-Bradley,Marjorie M.B.,"Ukiah, California",Washington,D.C.,30.0,California,13,US,4,,Executive Chef,Female
53,53,Carl Dooley,Carl D.,"Boston, Massachusetts",Boston,Massachusetts,30.0,California,13,US,5,,Chef de Cuisine,Male
54,54,Kwame Onwuachi,Kwame O.,"Bronx, New York",Washington,D.C.,25.0,California,13,US,6,POC,Chef de Cuisine,Male
55,55,Karen Akunowicz,Karen A.,"Kearny, New Jersey",Boston,Massachusetts,37.0,California,13,US,7,,Executive Chef,Female
56,56,Phillip Frankland Lee,Phillip F.L.,"Los Angeles, California",Los Angeles,California,28.0,California,13,US,8,,Executive Chef/Owner,Male
57,57,Chad White,Chad W.,"Spokane, Washington",San Diego,California,32.0,California,13,US,9,,Executive Chef/Owner,Male
58,58,Jason Stratton,Jason S.,"Seattle, Washington",Seattle,Washington,35.0,California,13,US,10,,Executive Chef,Male
59,59,Wesley True,Wesley T.,"Mobile, Alabama",Atlanta,Georgia,38.0,California,13,US,11,,Executive Chef,Male
60,60,Angelina Bastidas,Angelina B.,"Miami, Florida",Miami,Florida,25.0,California,13,US,12,POC,Chef de Cuisine,Female
61,61,Giselle Wellman,Giselle W.,"San Diego, California",Los Angeles,California,31.0,California,13,US,13,,Executive Chef,Female
62,62,Grayson Schmitz,Grayson S.,"New Holstein, Wisconsin",New York,New York,32.0,California,13,US,14,,Head of Development,Female
63,63,Frances Tariga-Weshnak,Frances T.W.,"Manila, Philippines",New York,New York,33.0,California,13,US,15,POC,Sous Chef,Female
64,64,Renee Kelly,Renee K.,"Shawnee, Kansas",Merriam,Kansas,34.0,California,13,US,16,,Executive Chef/Owner,Female
