,index,season,seasonNumber,series,overallEpisodeNumber,episode,episodeName,airDate,nCompetitors
0,0,Canada 6,6,Canada,60.0,1,The Next Wave,2018-04-08,11
1,1,Canada 6,6,Canada,61.0,2,The Chicken or the Immunity,2018-04-15,10
2,2,Canada 6,6,Canada,62.0,3,Que Rico,2018-04-22,9
3,3,Canada 6,6,Canada,63.0,4,Restaurant Wars,2018-04-29,8
4,4,Canada 6,6,Canada,64.0,5,Double Overtime,2018-05-06,8
5,5,Canada 6,6,Canada,65.0,6,That's a Lot of Dough,2018-05-13,6
6,6,Canada 6,6,Canada,66.0,7,Wine of the Tiger,2018-05-20,5
7,7,Canada 6,6,Canada,67.0,8,Finale Four Ways,2018-05-27,4
8,8,San Francisco,1,US,1.0,1,Who Deserves to Be Here?,2006-03-08,12
9,9,San Francisco,1,US,2.0,2,Food of Love,2006-03-15,11
10,10,San Francisco,1,US,3.0,3,Nasty Delights,2006-03-22,11
11,11,San Francisco,1,US,4.0,4,Food on the Fly,2006-03-29,9
12,12,San Francisco,1,US,5.0,5,Blind Confusion,2006-04-05,8
13,13,San Francisco,1,US,6.0,6,Guess Who's Coming to Dinner,2006-04-12,7
14,14,San Francisco,1,US,7.0,7,Restaurant Wars,2006-04-19,6
15,15,San Francisco,1,US,8.0,8,Wedding Bell Blues,2006-04-26,5
16,16,San Francisco,1,US,9.0,9,Napa's Finest,2006-05-03,4
17,17,San Francisco,1,US,10.0,10,Reunion,2006-05-10,12
18,18,San Francisco,1,US,11.0,11,Vegas Finale - Part 1,2006-05-17,3
19,19,San Francisco,1,US,12.0,12,Vegas Finale - Part 2,2006-05-24,2
20,20,Los Angeles,2,US,13.0,1,Into the Fire,2006-10-18,15
21,21,Los Angeles,2,US,14.0,2,Eastern Promise,2006-10-25,14
22,22,Los Angeles,2,US,15.0,3,Food for the People,2006-11-01,13
23,23,Los Angeles,2,US,16.0,4,Less is More,2006-11-08,12
24,24,Los Angeles,2,US,17.0,5,Social Service,2006-11-15,12
25,25,Los Angeles,2,US,18.0,6,Thanksgiving,2006-11-22,10
26,26,Los Angeles,2,US,19.0,7,The Raw and the Cooked,2006-12-06,9
27,27,Los Angeles,2,US,20.0,8,Holiday Spirit,2006-12-13,8
28,28,Los Angeles,2,US,21.0,9,Seven,2007-01-03,7
29,29,Los Angeles,2,US,22.0,10,Unhappy Customers (Restaurant Wars),2007-01-10,6
30,30,Los Angeles,2,US,23.0,11,Sense and Sensuality,2007-01-17,5
31,31,Los Angeles,2,US,24.0,12,"Hawaii Finale, Part 1",2007-01-24,4
32,32,Los Angeles,2,US,25.0,13,"Hawaii Finale, Part 2",2007-01-31,2
33,33,Miami,3,US,26.0,1,4-Star All-Stars,2007-06-06,8
34,34,Miami,3,US,27.0,2,First Impressions,2007-06-13,14
35,35,Miami,3,US,28.0,3,Sunny Delights,2007-06-20,14
36,36,Miami,3,US,29.0,4,Family Favorites,2007-06-27,13
37,37,Miami,3,US,30.0,5,Cooking By Numbers,2007-07-11,12
38,38,Miami,3,US,31.0,6,Latin Lunch,2007-07-18,11
39,39,Miami,3,US,32.0,7,Watch What Happens Special,2007-07-25,12
40,40,Miami,3,US,33.0,8,Freezer Burn,2007-08-01,10
41,41,Miami,3,US,34.0,9,Guilty Pleasures,2007-08-08,9
42,42,Miami,3,US,35.0,10,Restaurant Wars,2007-08-15,8
43,43,Miami,3,US,36.0,11,Second Helping,2007-08-22,8
44,44,Miami,3,US,37.0,12,Chef Overboard,2007-09-05,7
45,45,Miami,3,US,38.0,13,Snacks on a Plane,2007-09-12,6
46,46,Miami,3,US,39.0,14,Manhattan Project,2007-09-19,5
47,47,Miami,3,US,40.0,15,"Finale, Part 1",2007-09-26,4
48,48,Miami,3,US,41.0,16,"Finale, Part 2",2007-10-03,3
49,49,Miami,3,US,42.0,17,Reunion,2007-10-10,14
50,50,Miami,3,US,43.0,18,Top Chef Holiday Special,2007-12-06,14
51,51,Chicago,4,US,44.0,1,"Anything You Can Cook, I Can Cook Better",2008-03-12,16
52,52,Chicago,4,US,45.0,2,Zoo Food,2008-03-19,15
53,53,Chicago,4,US,46.0,3,Block Party,2008-03-26,14
54,54,Chicago,4,US,47.0,4,Film Food,2008-04-02,13
55,55,Chicago,4,US,48.0,5,The Elements,2008-04-09,12
56,56,Chicago,4,US,49.0,6,Tailgating,2008-04-16,11
57,57,Chicago,4,US,50.0,7,Improv,2008-04-23,10
58,58,Chicago,4,US,51.0,8,Common Threads,2008-04-30,9
59,59,Chicago,4,US,52.0,9,Wedding Wars,2008-05-07,8
60,60,Chicago,4,US,53.0,10,Serve and Protect,2008-05-14,7
61,61,Chicago,4,US,54.0,11,Restaurant Wars,2008-05-21,6
62,62,Chicago,4,US,55.0,12,High Steaks,2008-05-28,5
63,63,Chicago,4,US,56.0,13,Puerto Rico,2008-06-04,4
64,64,Chicago,4,US,57.0,14,Finale,2008-06-11,3
65,65,New York,5,US,59.0,1,Melting Pot,2008-11-12,17
66,66,New York,5,US,60.0,2,Show Your Craft,2008-11-19,15
67,67,New York,5,US,61.0,3,A Foo Fighters Thanksgiving,2008-11-26,14
68,68,New York,5,US,62.0,4,Today Show,2008-12-03,13
69,69,New York,5,US,63.0,5,Gail's Bridal Shower,2008-12-10,12
70,70,New York,5,US,64.0,6,12 Days of Christmas,2008-12-17,11
71,71,New York,5,US,65.0,7,Focus Group,2009-01-07,11
72,72,New York,5,US,66.0,8,Down on the Farm,2009-01-14,9
73,73,New York,5,US,67.0,9,Restaurant Wars,2009-01-21,8
