,index,season,seasonNumber,series,episode,challengeType,outcomeType,guestJudge,competedOnTC,otherShows
0,0,All Stars: New York,8,US,1,Quickfire,Team,Tom Colicchio,,Top Chef Judge
1,1,All Stars: New York,8,US,1,Elimination,Individual,Anthony Bourdain,,Parts Unknown; No Reservations
2,2,All Stars: New York,8,US,2,Quickfire,Individual,Joe Jonas,,
3,3,All Stars: New York,8,US,2,Elimination,Team,Katie Lee,,Beat Bobby Flay Judge
4,4,All Stars: New York,8,US,3,Quickfire,Team,David Chang,,
5,5,All Stars: New York,8,US,3,Elimination,Team,Anthony Bourdain,,Parts Unknown; No Reservations
6,6,All Stars: New York,8,US,3,Elimination,Team,Kate Krader,,
7,7,All Stars: New York,8,US,4,Quickfire,Individual,Tony Mantuano,,Top Chef Masters Season 2
8,8,All Stars: New York,8,US,4,Elimination,Team,Tony Mantuano,,Top Chef Masters Season 2
9,9,All Stars: New York,8,US,5,Quickfire,Individual,Tom Colicchio,,Top Chef Judge
10,10,All Stars: New York,8,US,5,Elimination,Individual,Susur Lee,,Top Chef Masters Season 2
11,11,All Stars: New York,8,US,6,Elimination,Team,Kerry Heffernan,,Top Chef Masters Season 4
12,12,All Stars: New York,8,US,7,Quickfire,Individual,Justo Thomas,,
13,13,All Stars: New York,8,US,7,Elimination,Team,Ludo Lefebvre,,Top Chef Masters Season 1 and 2
14,14,All Stars: New York,8,US,8,Quickfire,Individual,Isaac Mizrahi,,
15,15,All Stars: New York,8,US,8,Elimination,Individual,Anthony Bourdain,,Parts Unknown; No Reservations
16,16,All Stars: New York,8,US,8,Elimination,Individual,Lorraine Bracco,,
17,17,All Stars: New York,8,US,9,Elimination,Individual,Anthony Bourdain,,Parts Unknown; No Reservations
18,18,All Stars: New York,8,US,9,Elimination,Individual,Jimmy Fallon,,
19,19,All Stars: New York,8,US,10,Quickfire,Individual,Sesame St. characters,,
20,20,All Stars: New York,8,US,10,Elimination,Individual,Anthony Bourdain,,Parts Unknown; No Reservations
21,21,All Stars: New York,8,US,10,Elimination,Individual,Ming Tsai,,Tournament of Champions Judge
22,22,All Stars: New York,8,US,11,Quickfire,Individual,Paula Deen,,
23,23,All Stars: New York,8,US,11,Elimination,Individual,John Besh,,Top Chef Masters Season 1
24,24,All Stars: New York,8,US,11,Elimination,Individual,Paula Deen,,
25,25,All Stars: New York,8,US,12,Quickfire,Individual,Dan Barber,,
26,26,All Stars: New York,8,US,12,Elimination,Individual,Dan Barber,,
27,27,All Stars: New York,8,US,13,Quickfire,Individual,Eric Ripert,,Yes?
28,28,All Stars: New York,8,US,13,Quickfire,Individual,Tom Colicchio,,Top Chef Judge
29,29,All Stars: New York,8,US,13,Elimination,Individual,Eric Ripert,,Yes?
30,30,All Stars: New York,8,US,14,Quickfire,Team,Lorena Garcia,,Top Chef Masters Season 4
31,31,All Stars: New York,8,US,14,Elimination,Individual,Lorena Garcia,,Top Chef Masters Season 4
32,32,All Stars: New York,8,US,15,Quickfire,Individual,Wolfgang Puck,,
33,33,All Stars: New York,8,US,15,Elimination,Individual,Masaharu Morimoto,,
34,34,All Stars: New York,8,US,15,Elimination,Individual,Michelle Bernstein,,
35,35,All Stars: New York,8,US,15,Elimination,Individual,Wolfgang Puck,,
36,36,All Stars: New York,8,US,16,Elimination,Individual,Hubert Keller,,Top Chef Masters Runner-Up (Season 1)
37,37,All-Stars L.A.,17,US,1,Elimination,Team,Jeremiah Tower,,
38,38,All-Stars L.A.,17,US,2,Elimination,Individual,Ruth Reichl,,Top Chef Masters Season 3 Judge
39,39,All-Stars L.A.,17,US,3,Quickfire,Individual,Ali Wong,,
40,40,All-Stars L.A.,17,US,3,Quickfire,Individual,Randall Park,,
41,41,All-Stars L.A.,17,US,3,Elimination,Team,Ludo Lefebvre,,Top Chef Masters Season 1 and 2
42,42,All-Stars L.A.,17,US,4,Quickfire,Individual,Kelly Clarkson,,
43,43,All-Stars L.A.,17,US,4,Elimination,Team,Jeremy Fox,Yes,Sous Chef on Iron Chef: Quest for an Iron Legend
44,44,All-Stars L.A.,17,US,5,Quickfire,Individual,Nancy Silverton,,Tournament of Champions Judge
45,45,All-Stars L.A.,17,US,5,Elimination,Individual,Nancy Silverton,,Tournament of Champions Judge
46,46,All-Stars L.A.,17,US,6,Quickfire,Individual,Chris Bianco,,
47,47,All-Stars L.A.,17,US,6,Elimination,Team,Timothy Hollingsworth,,Tournament of Champions
48,48,All-Stars L.A.,17,US,7,Quickfire,Individual,Danny Trejo,,
49,49,All-Stars L.A.,17,US,7,Elimination,Individual,Kevin Boehm,,
50,50,All-Stars L.A.,17,US,7,Elimination,Individual,Stephanie Izard,Yes,Tournament of Champions
51,51,All-Stars L.A.,17,US,8,Elimination,Team,Kevin Boehm,,
52,52,All-Stars L.A.,17,US,8,Elimination,Team,Rob Katz,,
53,53,All-Stars L.A.,17,US,8,Elimination,Team,Stephanie Izard,Yes,Tournament of Champions
54,54,All-Stars L.A.,17,US,9,Quickfire,Individual,Kelsey Barnard Clark,Yes,Tournament of Champions
55,55,All-Stars L.A.,17,US,9,Elimination,Individual,Brooke Williamson,Yes,Tournament of Champions; Beachside Brawl
56,56,All-Stars L.A.,17,US,10,Quickfire,Individual,Sherry Yard,,
57,57,All-Stars L.A.,17,US,10,Elimination,Individual,Carole Iida-Nakayama,,
58,58,All-Stars L.A.,17,US,10,Elimination,Individual,Niki Nakayama,,
59,59,All-Stars L.A.,17,US,11,Quickfire,Individual,Jonathan Waxman,,"Top Chef Masters Season 1 and 2, and more as a Judge?"
60,60,All-Stars L.A.,17,US,11,Elimination,Individual,Michael McCarty,,
61,61,All-Stars L.A.,17,US,12,Quickfire,Individual,Filippo Saporito,,
62,62,All-Stars L.A.,17,US,12,Elimination,Individual,Cristiano Savini,,
63,63,All-Stars L.A.,17,US,12,Elimination,Individual,Cristiano Tomei,,
64,64,All-Stars L.A.,17,US,13,Elimination,Individual,Evan Funke,,
65,65,All-Stars L.A.,17,US,14,Elimination,Individual,Clare Smyth,,
66,66,All-Stars L.A.,17,US,14,Elimination,Individual,Dario Cecchini,,
67,67,All-Stars L.A.,17,US,14,Elimination,Individual,Hunter Lewis,,Yes?
68,68,All-Stars L.A.,17,US,14,Elimination,Individual,Janice Wong,,
69,69,All-Stars L.A.,17,US,14,Elimination,Individual,Marcus Samuelsson,,"Top Chef Masters Season 2, Chopped Judge, Tournament of Champions Judge"
70,70,All-Stars L.A.,17,US,14,Elimination,Individual,Mauro Colagreco,,
71,71,All-Stars L.A.,17,US,14,Elimination,Individual,Tony Mantuano,,Top Chef Masters Season 2
72,72,Boston,12,US,1,Sudden Death Quickfire,Team,Richard Blais,Yes,
73,73,Boston,12,US,1,Elimination,Individual,Richard Blais,Yes,
74,74,Boston,12,US,2,Quickfire,Individual,Todd English,,
75,75,Boston,12,US,2,Elimination,Team,Dante De Magistris,,
76,76,Boston,12,US,3,Sudden Death Quickfire,Individual,Ming Tsai,,Tournament of Champions Judge
77,77,Boston,12,US,3,Elimination,Individual,Ming Tsai,,Tournament of Champions Judge
78,78,Boston,12,US,4,Quickfire,Individual,George Wendt,,
79,79,Boston,12,US,4,Elimination,Team,Michael Schow,,Top Chef Masters Season 1
80,80,Boston,12,US,5,Quickfire,Individual,Jamie Bissonnette,,
81,81,Boston,12,US,5,Elimination,Team,Jamie Bissonnette,,
82,82,Boston,12,US,6,Quickfire,Team,Tiffani Faisson,Yes,"Chopped Judge, Tournament of Champions, Beachside Brawl"
83,83,Boston,12,US,6,Elimination,Individual,Ken Oringer,,
84,84,Boston,12,US,7,Elimination,Team,Barbara Lynch,,
85,85,Boston,12,US,8,Sudden Death Quickfire,Individual,Jasper White,,
86,86,Boston,12,US,8,Elimination,Individual,Richard Blais,Yes,
87,87,Boston,12,US,9,Quickfire,Individual,Rob Gronkowski,,
88,88,Boston,12,US,9,Elimination,Individual,Tony Maws,,
89,89,Boston,12,US,10,Quickfire,Individual,Andy Cohen,,Bravo shows
90,90,Boston,12,US,10,Quickfire,Individual,Dave Ansel,,
91,91,Boston,12,US,10,Elimination,Individual,Jacques Pepin,,
92,92,Boston,12,US,11,Elimination,Individual,Ashley Christensen,,
